Video;Kategorie;Art;durchgeschaut;views;Sonstiges;vergangene Zeit;Account
150;Impfung negativ;Meinung, Satire;ja;48.8k;negativer Beitrag zur Impfpflicht;6 min 7 sek;
151;Random;;;;;;
152;Random;;;;;;
153;Random;;;;;;
154;Comedy;;;;;;
155;Comedy;;;;;;
156;Comedy;;;;;;
157;War U R;;;;;;
158;Comedy;;;;;;
159;Comedy;;;;;;
160;Comedy;;;;;;
161;Random;;;;;;
162;Corona neutral;eigenes Video;ja;380.3k;Corona bekommen;;normal
163;Random;;;;;;
164;Random;;;;;;
165;Random;;;;;;
166;Comedy;;;;;;
167;Random;;;;;;
168;Random;;;;;;
169;Dance;;;;;;
170;Comedy;;;;;;
171;Comedy;;;;;;
172;Random;;;;;;
173;Comedy;;;;;;
174;Comedy;;;;;;
175;Random;;;;;;
176;Random;;;;;;
177;Random;;;;;;
178;Merkel positiv;;;;;;
179;Comedy;;;;;;
180;Comedy;;;;;;
181;Comedy;;;;;;
182;Random;;;;;;
183;Comedy;;;;;;
184;Random;;;;;;
185;Random;;;;;;
186;War U R;;;;;;
187;Merkel positiv;;;;;;
188;Medizin;;;;;;
189;Comedy;;;;;;
190;Medizin;;;;;;
191;Random;;;;;;
192;Random;;;;;;
193;Random;;;;;;
194;Comedy;;;;;;
195;Random;;;;;;
196;Comedy;;;;;;
197;Random;;;;;;
198;War U R;;;;;;
199;Militär;;;;;;
200;Random;;;;;;
201;Comedy;;;;;;
202;Random;;;;;;
203;Random;;;;;;
204;Random;;;;;;
205;Militär;;;;;;
206;Random;;;;;;
207;Random;;;;;;
208;Comedy;;;;;;
209;Comedy;;;;;;
210;Politik kritisch;Gastbeitrag TV;ja;1.5 mio;Pflegenotstand;8 min ;Pflegedozentin
211;Impfung negativ;Bildunterschrift einer Szene ;ja;2.4 mio;ungeimpft und ungetestet wird gefeiert;;Satire / Comedy
212;Politik kritisch;Bild Nachrichten;ja;44.3k;neuer Corona Plan ab 20. März;;Bildnachrichten
213;Random;;;;;;
214;Random;;;;;;
215;Random;;;;;;
216;War U R;;;;;;
217;Impfpflicht kritisch;selbsterstellte Szene;ja;4.7 mio;ungeimpfter Mensch wird gezwungen sich zu impfen mit Gewalt --> Comedy;;normal
218;Random;;;;;;
219;Politik kritisch;Olaf Scholz + eigene Meinung;ja;240.1k;Deutschland ist gespalten durch Politik & Impfungen;;Pfleger
220;Impfpflicht kritisch;Aussage Lauterbach;ja;1.5 mio;Lauterbach sagt, dass durch Impfpflicht niemand gezwungen wird;;"""Aufwachen mit Humor"""
221;Politik neutral;;;;;;
222;Random;;;;;;
223;Random;;;;;;
224;War U R;;;;;;
225;Impfung kritisch;selbsterstellte Szene;ja;1.1 mio;zwei Krankenschwestern reden über Impfungen in der Zukunft;14 min;Krankenschwester
226;War U R;;;;;;
227;Comedy;;;;;;
228;Verschwörung War U R;Bilder aus Nachrichten;ja;1.1 mio;Die Medien lügen uns an;;viele solcher Medien lügen Vids
229;Random;;;;;;
230;Lauterbach negativ;Talkshow;ja;235.4k;Eine Person ist pro Lauterbach, die Videobeschreibung zeigt das der Creator das als dumm empfindet;;Politik / Corona kritisch, eher rechts
231;Impfung kritisch;eigenes Video;ja;808.4k;positive Corona Tests trotz Impfung, außer bei heute frisch geimpfter Person;;normal
232;Anzeige;;;;;;
233;Verschwörung Corona;Lauterbach in TV Show;ja;224k;Impliziert das Corona nur eine Grippe ist;;genesenungeimpft --> viel über Corona / Lauterbach
234;Politik kritisch;Markus Lanz Talkshow mit Streeck;ja;318.3k;Genesenenstatus soll mit Impfung gleichgesetzt werden;;alphagammaomegahelp --> viel über Corona / Politik
235;War U R;;;;;;
236;Lauterbach negativ;altes Interview 2009;ja;418.8k;Lauterbach über Schweinegrippe & Impfung;;jaichfragdochnur --> impliziert Kritik
237;Random;;;;;;
238;Random;;;;;;
239;Random;;;;;;
240;Politik kritisch;Interview bei heute;ja;75.7k;Impfpflicht sei Erziehungsmaßnahme;18min 15 sek;isimatix --> viele FakeNews werden verbreitet
241;Verschwörung Corona Humor;Text;ja;118.7k;Corona Virus anoroc suriv heiße auf romänisch viel Glück beim Überleben;;normal
242;Corona neutral;eigenes Video aus Quarantäne;ja;169.3k;Verlauf von Corona als ungeimpfte;;normal
243;Impfung negativ;eigenes Video;ja;320.5k;3 Impfungen und trotzdem positiv;;normal
244;Lauterbach negativ;Talkshow Lauterbach;ja;984.7k;kurzer Clip wie Lauterbach stottert, impliziert, das er kein Klartext spricht;;Politik / Corona kritisch
245;Politik neutral;Bericht heute Show;ja;122.4k;Bericht über Lockerungen 20.März;;heuteshow
246;Impfung neutral;Interview Bild;ja;1.7 mio;"""Ich bin 2 mal geimpft, mir kann nichts passieren""";;normal
247;Corona kritisch;Newbeitrag Welt;ja;164.8k;Genesenestatus wurde angefochten, ungeimpfte können sich trotzdem 6 Monate erschummeln;;Politik / Corona kritisch
248;Corona neutral;;;;;;
249;Random;;;;;;
250;Random;;;;;;
251;Random;;;;;;
252;Random;;;;;;
253;Random;;;;;;
254;War U R;;;;;;
255;Impfung negativ;eigenes Video;ja;393.3k;Genesenenstatus lieber als Impfung --> Status heißt Freiheit;;normal / Comedy
256;Random;;;;;;
257;Impfung negativ;eigenes Video;ja;638.3k;"Impfpflicht für medizinisches Personal --> ""Wer wird den Job wechseln""";22 min 5 sek;Pfleger
258;Merkel positiv;;;;;;
259;Corona kritisch;eigene Meinung;ja;13.5k;"Attila Hildmann: wir sterben durch Impfung; Lauterbach: wir sterben durch Corona";;Impfkritiker (wurde auch schon 3 mal gesperrt)
260;Random;;;;;;
261;Random;;;;;;
262;Comedy;;;;;;
263;Impfung negativ;Markus Lanz Talkshow;ja;179.8k;gutes Recht sich nicht Impfen lassen zu wollen;;genesenungeimpft
264;Impfpflicht kritisch;Virologe Hendrik Streeck;ja;145.7k;Kein Unterschied zwischen Geimpften & Ungeimpften --> reiner Eigenschutz -->von Virologe, wem soll ich glauben, unterschiedlicher Konsenez in Wissenschaft ist schwierig vor allem in diesem Zeiten;;alphagammaomegahelp
265;Impfung negativ / Humor;Interview mit jungem Menschen;ja;;;;
266;Random;;;;;;
267;Impfpflicht kritisch;Talkshow mit Lauterbach;ja;80.7k;Aussage über Impfpflicht --> ergibt keinen Sinn aus epidemiologischer Sicht;;jaichfragdochnur
268;Random;;;;;;
269;Politik kritisch;Bildartikel + eigene Meinung;ja;211.8k;Lauterbach sei der beliebteste Politiker --> er macht sich drüber lustig und fragt sich wer gefragt wurde;;Geschichts / Politik Kritiker, ist auf Telegramm
270;Impfung negativ;Newsartikel + Lachen;ja;128.4k;"Impfärzte sollen Honorar zurückzahlen --> ""Karma""";;Corona kritisch
271;Random;;;;;;
272;Corona kritisch;Talkshow;ja;70.9k;""" einfache Frage: Wann ist die Pandemie vorbei"" --> Kommentare sind interessant";;Corona / Politik Kritiker
273;Random;;;;;;
274;Verschwörung Politik;Lauterbach Clip + eigene Clips;ja;730.4k;"""Lauterbach nur 1x mal geimpft, da Wechselwirkung mit Christal Meth zu hart waren""";;für die Freiheit
275;Verschwörung Impfung;Video von Polizisten & Zivilisten;ja;2.9 mio;"Polizei schreit Zivilisten an, in dem Video wird das auf die Impfung geschoben (""was ist in der Impfung"")";;Corona Kritiker
276;War U R;;;;;;
277;War U R;;;;;;
278;Politik kritisch;Petitionen Screenshots;ja;31.3k;Petitionen, das Lauterbach zurücktreten soll;27 min 19 sek;Kritik gegenüber aktuellen Ereignissen
279;Politik neutral;Newsbeitrag Österreich;ja;132.3k;3G Regel am Arbeitsplatz entfällt --> keine Wertung;;Beschreibt sich als News Channel, aber eher kritisch gegenüber Corona
280;Random;;;;;;
281;Random;;;;;;
282;Politik kritisch;Talkshow hartaberfair;ja;369k;"gestorben trotz 2 Impfungen --> Vorbereitung für 4. Impfung --> Beschreibung: ""und 5., 6., 7. """;;Politik Kritik
283;Random;;;;;;
284;Politik kritisch;selbsterstellte Szene;ja;319.3k;Politik hört nicht auf Wissenschaftler / RKI;;Krankenschwester
285;Random;;;;;;
286;Random;;ja;;;;
287;Corona neutral;Dokumentation;ja;357.1k;Krankheitsverlauf von Corona --> Post-Covid (in den Kommentaren wird sich darüber lustig gemacht);;News über Corona
288;Random;;;;;;
289;Politik kritisch;eigene Meinung;ja;269.1k;unverständliche 2g / 3g Regeln in Gastronomie;;normal
290;Random;;;;;;
291;Random;;;;;;
292;Random;;;;;;
293;Corona kritisch;eigene Meinung;ja;87.6k;"""ab wann ist das logische Denken wieder erlaubt""";;Impfung / Politik Kritiker
294;War U R;;;;;;
295;Politik kritsch;Video von Lauterbach mit anderem Sound;ja;427.5k;Lauterbach wird als unverständlich dargestellt;;normal
296;Politik neutral;Bericht / eigenes Video;ja;3.9 mio;kein wissenschaftlicher Beweis das Schutz von genesenen nach 3 Monaten endet;;Herranwalt
297;Random;;;;;;
298;Politik kritisch;Markus Lanz Talkshow;ja;395.6k;RKI / Paul Ehrlich entscheidet wer geimpft ist --> Lauterbach hat nicht das sagen (nach 3 Impfungen schluss);32 min 18 sek;alphagammaomegahelp
299;Corona Comedy;;;;;;
300;Random;;;;;;
301;Corona neutral;Talkshow;ja;21.2k;Was wir über Omikron wissen --> nichts;;fairtalktv
302;Corona Comedy;eigenes Video;ja;159.5k;Momentan wird nichts mehr über Corona berichtet, als wäre es schon weg;;normal
303;Politik kritisch;Interview Hendrik Streeck;ja;89.3k;weniger Testen, andere Teststrategie, nur symptombezogenes testen;;genesenungeimpft
304;Impfung kritisch;eigenes Video;ja;527.6k;nach Boosterimpfung krank wird negativ dargestellt;;normal
305;Random;;;;;;
306;Random;;;;;;
307;Corona neutral;eigenes Video;ja;54.2k;Maske macht atmen schwer, sonst neutral, eher humor;;arbeitet beim DRK
308;Impfpflicht kritisch;eigenes Video;ja;88k;Comedy, Pfleger werden nicht mehr gebraucht, viele gehen wegen Impfpflicht;;Pfleger
309;Random;;;;;;
310;Random;;;;;;
311;Random;;;;;;
312;Corona neutral;eigenes Video;ja;191.6k;Schnelltest mit Impfflüssigkeit von Biontech ist negativ;;Pfleger
313;Random;;;;;;
314;Impfpflicht kritisch;Interview mit Wagenknecht;ja;235.3k;Impfpflicht ergibt keinen Sinn, weil die Impfungen nicht gut genug sind;;mutzurwahrheit
315;Random;;;;;;
316;Random;;;;;;
317;Random;;;;;;
